schema_version	id	category	decimal	expected_outcome	provenance	seed	form	notes
1	mersenne-13	MERSENNE	8191	PROVEN_PRIME	EXHAUSTIVE	NONE	2^13-1	Small Mersenne prime
1	gfn-3-4	GENERALIZED_FERMAT	82	COMPOSITE	EXHAUSTIVE	NONE	3^(2^2)+1	Even generalized Fermat composite
1	gfn-4-4	GENERALIZED_FERMAT	257	PROVEN_PRIME	EXHAUSTIVE	NONE	4^(2^2)+1	Generalized Fermat prime
1	gfn-6-4	GENERALIZED_FERMAT	1297	PROVEN_PRIME	EXHAUSTIVE	NONE	6^(2^2)+1	Generalized Fermat prime
1	gfn-10-4	GENERALIZED_FERMAT	10001	COMPOSITE	EXHAUSTIVE	NONE	10^(2^2)+1	73*137
1	random-01	SEEDED_RANDOM	473330013423676773	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 1
1	random-02	SEEDED_RANDOM	8718439153571891187	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 2
1	random-03	SEEDED_RANDOM	15787218373748660189	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 3
1	random-04	SEEDED_RANDOM	13387221435324054807	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 4
1	random-05	SEEDED_RANDOM	9677710711363157381	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 5
1	random-06	SEEDED_RANDOM	11950869587944937561	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 6
1	random-07	SEEDED_RANDOM	10282856870516540847	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 7
1	random-08	SEEDED_RANDOM	6646696580005538523	COMPOSITE	PARI_FLINT	20260802	GENERAL	xorshift64star sample 8
